,review,stars
314,"Left shoe is comfortable & fits well. Right shoe is tight. This is never the case with other shoes, even from campus. Did not return as left shoe size is ok.",3.0
315,As mentioned above,3.0
316,Used product,5.0
317,Comfortable but runs small,4.0
318,Best product,5.0
319,For walking,4.0
320,,4.0
321,Nice,4.0
322,Nice Shoes very light weight if your are using 7UK number then buy 8UK number for proper fitting value for money..,5.0
323,Nice👍,5.0
324,For comfort and running purpose it's totally good. So light weight as u asume that u pick up a piece of paper 🗞️...,5.0
325,"Very good in this price range, comfort is good and looking also very nice must buy it",4.0
326,"Product is good and comfortable. But, strains the fingers after some time, Not straining the toe.",4.0
327,very comfartable shoes value for money,5.0
328,"The shoe is fairly priced. But within 3 weeks of use, the back-of-the-heel to Achilles tendon padding keeps collapsing and folds in. So a shoe horn is essential to slide the heel in. The glue used to keep the in-sole in place is ineffective. So it keeps sliding out of position. All this is with the left shoe. The riht one is fine.I do not recommend this shoe. Could be a problem with the brand's quality control. So give Campus a miss since the return window is hardly 2 weeks and these problems show up with regular use.",2.0
329,I am using this for day-to-day activities. Quite comfortable with walking but didn't used for running or exercise purpose.Overall good product in right price.,5.0
330,Superb,3.0
331,My favourite shoe,5.0
332,"पसंद तो ठीक है,लेकिन रीफ़ण्ड किये गए आइटम का पैसा अभी तक वापस नहीं मिला है।",3.0
333,Excellent product do buy,5.0
334,Best product beat packaging,5.0
335,I will use this shoe as a casual wear.,4.0
336,Super,4.0
337,Extremely comfortable product,4.0
338,One time good to buy,4.0
339,Value of money,4.0
340,"Super walking shoe, very comfortable, very good quality",5.0
341,Very comfortable for walking .,4.0
342,"Its a good quality product with good finishing and soft heel pad, only issue is you will have to buy 1 size bigger than what you use.A very good product at this rate of 575",5.0
343,Wow super products,5.0
344,I like,3.0
345,"Bought this one for my father as he goes for a morning walk daily, pepoles were commenting earlier on him for old torn shoes my father replied to all this is a new fashion just like torn jeans. Now he have a new shoes and he is happy.",5.0
346,,5.0
347,Good,4.0
348,Smooth walking,5.0
349,Nice fitting,5.0
350,Overall quality and shoe was good but wearing shoe is very difficult very tight to wear the leg hole is too small..,3.0
351,Not as anticipated was thinking it will be much better than how i received it,2.0
352,Product feels good for the price range. I purchased it for Rs 500. All worth!! All Comfort!!,4.0
353,Excellent comfort. I feel really good wearing these shoes compared to my all other expensive ones.,5.0
354,"Very good shoes, will recommend to all",5.0
355,Best product - most comfortable and exact fit,5.0
356,Morning walk ke liye perfect juta hai,5.0
357,Nice,4.0
358,Very comfortable & light weighted,5.0
359,"Everything was good... No damage, but package was not thaat good.. All right though👌👍",5.0
360,Very nice shoes very comfortable to wear,5.0
361,Beyond the price exceptionExcellent product in this rangeNice experience with this product,5.0
362,Comfortable,4.0
363,No dislike I love this,5.0
364,Excellent Product,4.0
365,Bought it for my son. Awesome shoes very comfortable must go for it.,5.0
366,"Actually in size chart size 7 means foot length is 27.2cm, and my foot lengh is below 24cm  then i ordered the shoe with size 7, but shoes are too tight , is it my mistake?",4.0
367,Grip on wet surface is not that good. As comapre to price product is good.,3.0
368,"value for money , good product by campus",4.0
369,Light weight and comfortable shoes value for money product..,5.0
